歌曲	蓝光	高清
恋爱ing(3DNA Live版) - live	http://m1.music.126.net/igQNLqZw9MSdApddzkQGww==/1089616023134524.mp3	 http://m2.music.126.net/bJI2-YwvbGwCJBxJGIF2Rg==/1099511627784480.mp3
你不是真正的快乐(3DNA Live版) - live	http://m1.music.126.net/IBXqR3kGn_geEuUZZdlNrA==/1208363278934194.mp3	 http://m2.music.126.net/46wOYJXxN8qQ_Sc6N6t1Qg==/1126999418478761.mp3
突然好想你(3DNA Live版) - live	http://m1.music.126.net/QeCLGIcbRu0P41ps3r5dPw==/1003854116167889.mp3	 http://m1.music.126.net/5cDACQI2-zAZ6eU_awXe0A==/1176477441728845.mp3
温柔(3DNA Live版) - live	http://m1.music.126.net/r8hww3h_YYc4s-GM8H-CjA==/1126999418478762.mp3	 http://m2.music.126.net/-4Ct5xXaj7B5oH8_Dsh9bQ==/1089616023134525.mp3
知足(3DNA Live版) - live	http://m2.music.126.net/todlWse7W4S6BUd9W11koA==/1176477441728846.mp3	 http://m2.music.126.net/38ckdxTbtOqnARLKCAJjwA==/1208363278934195.mp3
天使(3DNA Live版) - live	http://m2.music.126.net/pvQWd3AR5sKQl0Hj6uMpXw==/1089616023134526.mp3	 http://m2.music.126.net/T8wI0RArth8CdjzbVCLV2g==/1003854116167890.mp3
倔强(3DNA Live版) - live	http://m1.music.126.net/E6ak18fIOOWy9CAYhZvgtQ==/1208363278934196.mp3	 http://m2.music.126.net/Q260rxoaWs2P8oYoxWD2nA==/1126999418478763.mp3
我心中尚未崩坏的地方(3DNA Live版) - live	http://m1.music.126.net/IUssrKQlsDhInoyrL4qL-Q==/1003854116167891.mp3	 http://m1.music.126.net/6Ja-t-4oP6oYWfOQyecB5w==/1176477441728847.mp3
OAOA	http://m2.music.126.net/tDjnev4VkHWoEX_lfD0IKA==/1131397464989063.mp3	 http://m2.music.126.net/vMfqS54GGHSG8IC1tYqskA==/1109407232433535.mp3
DNA	http://m2.music.126.net/kxiIruUMej_nGcU_H0xo0g==/5758142394719109.mp3
放肆	http://m2.music.126.net/nd8uAFjl_DSXk-2tBOC0-A==/1912050720752542.mp3
突然好想你	http://m1.music.126.net/qmA3_DHbreEfDmQuDodjFw==/1139094046385247.mp3	 http://m2.music.126.net/g6MySqax4TN18LIvVA5JFw==/1218258883584968.mp3
生存以上 生活以下	http://m2.music.126.net/G7Myrp6coLarBNAJDoTirw==/1206164255679437.mp3	 http://m1.music.126.net/UmdpBq8T_GE9yiJAW-5HxQ==/1122601371968560.mp3
你不是真正的快乐	http://m2.music.126.net/3DjPOlWxNvi2SVEtJZKtuw==/7974757837784813.mp3	 http://m2.music.126.net/bJGv6F5P2_xJtK2rxo_NwA==/3346913395008667.mp3
爆肝	http://m2.music.126.net/Z_LGaJ4TDwS66VFdZ8fZdA==/7764751116455948.mp3	 http://m2.music.126.net/BZNy9UenIKvaCdtZRefdkA==/7974757837784811.mp3
噢买尬	http://m2.music.126.net/-HmPcFuNLaRHvZTdb0tOTg==/7764751116455951.mp3	 http://m2.music.126.net/WC_vlmKPux3MJsox0ZLsdA==/3271047092691486.mp3
出头天	http://m1.music.126.net/Az-55SZoKLecr2rdemZQGA==/7983553930812153.mp3	 http://m1.music.126.net/3ngLQy23wsWg5PKjw0AROg==/3377699720585901.mp3
我心中尚未崩坏的地方	http://m1.music.126.net/pQST2KZUuFWStOYGYHmUOA==/7764751116455954.mp3	 http://m1.music.126.net/fl23GaJFV_gqb_rRdftnTA==/7764751116455952.mp3
春天的呐喊	http://m2.music.126.net/7KF1OrW3oiBQWzc6Z2mOiQ==/3374401185703027.mp3	 http://m1.music.126.net/aa7IfpeUx_NOnkcXAC6A_Q==/7961563698258237.mp3
夜访吸血鬼	http://m1.music.126.net/xA2fxM6K14DM-vc_-c-VmQ==/7764751116455957.mp3	 http://m1.music.126.net/IgmteF8bwpsZCgUHT4sGdQ==/7764751116455955.mp3
如烟	http://m2.music.126.net/obLipYw7Bd5wtSG1ptHFZA==/7764751116455960.mp3	 http://m2.music.126.net/XuQkQxgKdnDJvfMFaXVAJw==/7764751116455958.mp3
后青春期的诗	http://m1.music.126.net/-kAhi52wm-nvpQZXDEwjnQ==/7764751116455949.mp3	 http://m2.music.126.net/H3MiSrGq8YHNfz-diF6y7A==/7974757837784812.mp3
笑忘歌	http://m1.music.126.net/6pW3SQWGVU8XX74jhNqxTQ==/3271047092691487.mp3	 http://m1.music.126.net/jSNhLOau5k1hoW-9Sl3JTA==/7764751116455961.mp3
前传	http://m2.music.126.net/gAzBIstvCetLjJXZEhTS7w==/1198467674284162.mp3	 http://m1.music.126.net/EvQg7QtVVceRl1bFBoxEtQ==/1147890139406705.mp3
为爱而生	http://m2.music.126.net/NU5qP7-Kl4TF1lHtLZpedg==/1107208209178743.mp3	 http://m1.music.126.net/AAQtsLuZtVYJLVgyxHeuCQ==/1099511627784432.mp3
天使	http://m2.music.126.net/kszizIn-gB_kxpRxy4lNIg==/1008252162678957.mp3	 http://m2.music.126.net/pCzNexPJXsoj1Q7n7Ft2tA==/1004953627795626.mp3
我又初恋了	http://m1.music.126.net/nPZ-Rj1M3j0yNPWu6WEjHg==/1120402348712097.mp3	 http://m1.music.126.net/xK8-mdc-EQgLmDP16CAiZw==/1191870604517426.mp3
香水	http://m2.music.126.net/ppl5G__kajMDltg4CTlY2Q==/1147890139406707.mp3	 http://m2.music.126.net/JAJ3fpnaicEBH_82RtMe7w==/1136895023128747.mp3
摩托车日记	http://m1.music.126.net/JHy_KP4z_S8TRdNjsEpuXA==/1099511627784434.mp3	 http://m1.music.126.net/y1qQiZfMq833ryaTa1qzYQ==/1198467674284164.mp3
最重要的小事	http://m2.music.126.net/_0wtNPvOMcqXEVFR10zWUg==/1004953627795628.mp3	 http://m1.music.126.net/YnbFTqT7eKS9NWG84ZP7Mg==/1107208209178745.mp3
快乐很伟大	http://m2.music.126.net/NpVMfBK97YLs9HMvVPwN_w==/1191870604517427.mp3	 http://m1.music.126.net/iPoZmBvr43znFJIStfxAUg==/1008252162678959.mp3
忘词	http://m1.music.126.net/k6Ew-hutAfwdg_IBYalufw==/1136895023128749.mp3	 http://m2.music.126.net/Rzw7E5AFqsogIeM6FAY_2g==/1120402348712099.mp3
宠上天	http://m2.music.126.net/9ITM0WAgNIxYQi7V96t0Ug==/1198467674284166.mp3	 http://m2.music.126.net/ZqfReLcUDGFpTZNKy1oefg==/1147890139406709.mp3
米老鼠	http://m1.music.126.net/ceS4EYBk-cAC4rVyK1qDWw==/1107208209178747.mp3	 http://m2.music.126.net/Z_ky_bmKyTwPVBlnUmS77A==/1099511627784436.mp3
一千个世纪	http://m1.music.126.net/-Qyi1hDpDtvuBW5ybHtttA==/1008252162678961.mp3	 http://m1.music.126.net/aM3pmCZc5CjiP3g3EpZtnQ==/1004953627795630.mp3
胎音	http://m2.music.126.net/37Tnk0q7ptpoT4Uw39QUXw==/1120402348712101.mp3	 http://m2.music.126.net/qLyAh66Ikb202TSyqAMngw==/1191870604517428.mp3
Intro Back To - intro	http://m1.music.126.net/ibpzj5OGGGZsvJG5QoxyoQ==/2045091627677001.mp3	 http://m1.music.126.net/pA60vbKmMk1NfLVEz1ggdw==/2045091627676999.mp3
盛夏光年	http://m1.music.126.net/3eo6aBr1jPIOm3VWQnDl2Q==/1033540930122651.mp3	 http://m1.music.126.net/pYQa6NTqRSxh8DoKPzB-Gw==/1265537883571935.mp3
拥抱	http://m2.music.126.net/KxSwTfBKUEm0LOUPGh3oFw==/2007708232328035.mp3	 http://m2.music.126.net/ds9gHW-ZJ5cLlotsOo95pA==/2027499441627952.mp3
明白	http://m2.music.126.net/QgJpQf1i5DJQBmHwsN0Yhw==/1047834581283654.mp3	 http://m2.music.126.net/oC_CwnfSRNqfbnTes7ucmg==/1328210046355179.mp3
纯真	http://m1.music.126.net/qeA4jls1733JCzyGfw947g==/1033540930122652.mp3	 http://m1.music.126.net/1cZzv-dOZM9re6Wvbr-Jow==/1265537883571936.mp3
孙悟空	http://m2.music.126.net/EHRYIspVhNbqoJY7nOTohg==/998356558028876.mp3	 http://m1.music.126.net/ssjcEbihRYrri9CJGPIQLg==/1030242395234330.mp3
倔强	http://m1.music.126.net/Obkz7wtCL4pFW88Kc8vKaQ==/3265549534571453.mp3	 http://m2.music.126.net/VzlnQU50tNk2e2HLcEnOAQ==/7891194953697601.mp3
垃圾车	http://m2.music.126.net/YfPuVryaauWuWZ-cxxWoFg==/1030242395234331.mp3	 http://m1.music.126.net/xzQkLkQW8lmNbsfSahftyQ==/1130297953362043.mp3
小护士	http://m2.music.126.net/7EWTajxZSR79rLmBGvnlcA==/1188572069634092.mp3	 http://m1.music.126.net/LdDgpPsr2p34eYGPCtIbfA==/998356558028877.mp3
让我照顾你	http://m1.music.126.net/ieJfwcVvk9T5V-PSjIErTw==/1209462790561841.mp3	 http://m2.music.126.net/Ku6JPnRUYDGKate4fAuYMA==/1209462790561839.mp3
约翰蓝侬	http://m2.music.126.net/DhaSBTfolew8rUg7Yc9IPg==/1209462790561845.mp3	 http://m1.music.126.net/mpYBo3xu9JqfIVLc4ZaB_g==/1209462790561843.mp3
回来吧	http://m1.music.126.net/AnoVpWKs7YS_UcSX4UnFxQ==/3333719255494092.mp3	 http://m2.music.126.net/bd9fOHxoo5hiEIMZDGi0cw==/3275445139220550.mp3
错错错	http://m1.music.126.net/Ij-O_FemXckZZi3EAKH6Bg==/3360107534561279.mp3	 http://m2.music.126.net/Af-Z8g7vU2m0o2EM-AFEOg==/3334818767121769.mp3
晚安，地球人	http://m1.music.126.net/cZsTEeFLNV0cNdg98fQcmQ==/3265549534571454.mp3	 http://m1.music.126.net/RFBovXrC_v-4k6iCeeC5FA==/7970359791298999.mp3
超人	http://m1.music.126.net/ACAHS9EVbsMmFPIWFBs5dA==/7891194953697600.mp3	 http://m1.music.126.net/cDS08Iiy6fBpTolUs17rSA==/7891194953697598.mp3
神的孩子都在跳舞	http://m1.music.126.net/wk7eL4W6sFZbDyZFogQRlg==/1188572069634099.mp3	 http://m1.music.126.net/tmTmXX2h5N_LeVjrV49h6w==/1188572069634097.mp3
圣诞夜惊魂	http://m1.music.126.net/6rizu5XXB7UyK9zcR3HIGw==/3333719255494093.mp3	 http://m1.music.126.net/mxYBVliawTiaxG328BWgtA==/3275445139220793.mp3
垃圾车(朋友版)	http://m1.music.126.net/wLPO-_WFa_vS2BKtESO_9A==/3360107534561280.mp3	 http://m2.music.126.net/AeQwkC0537BBROcephiYDg==/3334818767121770.mp3
听不到	http://m1.music.126.net/frg6te1Zbhqs-Ot4y7npCw==/1130297953362045.mp3	 http://m1.music.126.net/4PWEnKUE4EVsi-CuS2RnDA==/1162183790567836.mp3
温柔(还你自由版)	http://m2.music.126.net/sDDDg-Xify3CgGVQgF8DJA==/998356558028879.mp3	 http://m2.music.126.net/sorkBb33tfTmcbzwun2ANQ==/1030242395234333.mp3
Enrich Your Life	http://m2.music.126.net/bQGS0A37a5t0wjJK-Zo8iA==/1107208209178479.mp3	 http://m2.music.126.net/nvtU2-L1-5GQcYZsoFtYuA==/1107208209178477.mp3
温柔(还你自由版)	http://m1.music.126.net/Pzxyp7Z7NwFbha9KemhGFw==/1010451185934277.mp3	 http://m2.music.126.net/UVynmpqWNJKbYGzXAFXilA==/1107208209178481.mp3
终结孤单	http://m1.music.126.net/726K1t3Drfch9vUxxeVHZg==/1083018953367672.mp3	 http://m2.music.126.net/SbLTO76yhh25dyzj2GkOfA==/1003854116167689.mp3
生命有一种绝对	http://m2.music.126.net/yvjUMRRVJ6AzyGSjyNVAUg==/1175377930100820.mp3	 http://m1.music.126.net/JstzduhvA7yASrI2d864gA==/1098412116156546.mp3
憨人	http://m2.music.126.net/HhVF1zhE1bhEd-fh7cOLBA==/1063227744067646.mp3	 http://m1.music.126.net/cBFQlcaFqFoiDHMUX3_v3w==/1088516511506373.mp3
Enrich Your Life(伴奏) - instrumental	http://m2.music.126.net/8G4csVNk7rJ87KeoLzlvlQ==/1032441418489738.mp3	 http://m2.music.126.net/Pz-fIroOAHnixNUjwajgVQ==/1177576953356410.mp3
探母	http://m2.music.126.net/rbUC-XqUdfHIseyvK_npIA==/1216059860329404.mp3	 http://m2.music.126.net/zfvNn2sAgdcRmgTLVLkF_A==/1216059860329402.mp3
寂寞星球	http://m1.music.126.net/jxKdxBFNrWkX8yDQW3nwdw==/1024744837096221.mp3	 http://m1.music.126.net/r-6_qTQwgSeHY-H7hnL10A==/1216059860329406.mp3
温柔(还你自由版)	http://m1.music.126.net/Z5PkyLaziEgNOJ0WFjNXAg==/1024744837096225.mp3	 http://m1.music.126.net/sIj9cGwPy6pwTSB7uyHSQg==/1024744837096223.mp3
轻功(京片子版)	http://m1.music.126.net/BGM1RxPssid4qVAGA4vv6w==/1991215557913110.mp3	 http://m1.music.126.net/ahbZM_zGeLitPwn3VK3AMA==/2011006767212623.mp3
轻功(甜蜜碎拍Remix) - remix	http://m1.music.126.net/Oo5BOWOijUa0eu_zdF_fMQ==/2069280883485119.mp3	 http://m2.music.126.net/L961hovJxUIInb4wpnMsKA==/2034096511395875.mp3
武装(灵魂Remix) - remix	http://m1.music.126.net/Zc_lHzkcfsJv60vcnhjLTQ==/1184174023124109.mp3	 http://m1.music.126.net/IKOAOLoQGhIN7DwHkBghBA==/1024744837096231.mp3
那一年的花季(探母瑄瑄版)	http://m1.music.126.net/1RU9uB9DZEm9RIRH74Vs7g==/1059929209185216.mp3	 http://m2.music.126.net/vYVdVNnaQSW8EC-ATiuxaw==/1043436534768475.mp3
恒星的恒心(下定决心版)	http://m1.music.126.net/dyyCY7_7xigDEVGFbJ9fHw==/1219358395212741.mp3	 http://m2.music.126.net/e-D9Jd3APpMsgCq1oLj9ww==/1047834581279584.mp3
而我知道	http://m1.music.126.net/aT6Q5-YTeY--z0qFoElDhg==/1031341906862891.mp3	 http://m2.music.126.net/L41l9EkhTZBB0TY374OxrQ==/1095113581274248.mp3
疯狂世界	http://m1.music.126.net/yziuYntBO5MwXpzpFUTXNA==/1145691116151999.mp3	 http://m1.music.126.net/NM5JUNm303fHBsfMU6SAUg==/1015948744073980.mp3
纯真	http://m1.music.126.net/pGNO1c7Z-1r_g2Oi0OfeBA==/1043436534768477.mp3	 http://m2.music.126.net/kIrO4YjlPHBEWb-d9hdZkA==/1184174023124111.mp3
生命有一种绝对(绝对String Mix版) - remix	http://m2.music.126.net/R3ZBtJQlV9RtG70Y2j2LQQ==/1047834581279586.mp3	 http://m1.music.126.net/UpJYCLgvZS7QXEn8q67wJA==/1059929209185218.mp3
时光机	http://m1.music.126.net/VVNaIedI_lf5OCbOWYy2Mg==/1095113581274250.mp3	 http://m1.music.126.net/C5CxL5e4FH26IfRQ2lHhuA==/1219358395212743.mp3
五月之恋序曲	http://m1.music.126.net/uGh_aT6KzAAloojnSya9_w==/2011006767212624.mp3	 http://m2.music.126.net/ln9gtIbO6rVbzMZQzK_0ZA==/1981319953263113.mp3
纯真(演奏曲)	http://m2.music.126.net/XDk0UzGf-rWpno49k75PXg==/1145691116152001.mp3	 http://m2.music.126.net/CbxjRnbhflZBLOBWnZCd-w==/1015948744073982.mp3
轻功(京片子版配乐)	http://m2.music.126.net/juDHdcEtXgHzkOXZW0gT1A==/2034096511395876.mp3	 http://m1.music.126.net/-4X05g13G50AePc2fizbJw==/1991215557913111.mp3
探母(配乐)	http://m1.music.126.net/KCCFjwNNP9bMctLfYLjTtg==/1059929209185220.mp3	 http://m2.music.126.net/B4djTmMYAiU8i2722pCZfw==/1043436534768479.mp3
三城记	http://m1.music.126.net/Y4wT5dpy_MJBnV8LCGQZQg==/2069280883485122.mp3	 http://m2.music.126.net/yNqv9qGDoUG_QACH7BRalQ==/2069280883485120.mp3
如果我是石头	http://m1.music.126.net/U3ENB4klo43QM6_4EDX2yQ==/2069280883485126.mp3	 http://m1.music.126.net/42tJP_1OoqSNzjOpNMSvIg==/2069280883485124.mp3
青岛巴士	http://m2.music.126.net/8GtMjdZiU8-FKfbwk75QJA==/2069280883485130.mp3	 http://m2.music.126.net/vRmnUaNSmCU78iDQ4uYycQ==/2069280883485128.mp3
寻根(带我去三义)	http://m2.music.126.net/Nj6Z1CVelQ6lf5MUs9LneA==/2064882836973583.mp3	 http://m2.music.126.net/6nievEcQs6PsTWGXjGgaoA==/2069280883485132.mp3
诚品激突	http://m2.music.126.net/loqnyqm1HWTLriRZ86a6og==/2100067209055436.mp3	 http://m2.music.126.net/DU0rusnF016h4QZ-UB66vA==/2089072092778017.mp3
武装以后(演奏曲)	http://m2.music.126.net/7SYbGGcNeQwfasBXfVub0Q==/2012106278840404.mp3	 http://m1.music.126.net/mn11yxb0QFVomJFkmsdfnw==/2081375511390681.mp3
那一年的花季(探母瑄瑄版配乐)	http://m2.music.126.net/-ahyCBo8hh56KIlmOmhQ0g==/1172079395218568.mp3	 http://m1.music.126.net/YtY8eg7GCU6eNfiPw1SOGg==/1219358395212746.mp3
灵魂能有多重	http://m2.music.126.net/lNVifQEWmGKxRfUQWyso-w==/2086873069529580.mp3	 http://m1.music.126.net/Z0zwGL4pYBdBiXo_rJ9gBQ==/2030797976512549.mp3
哪一楼的阿？(台北的脚步)	http://m1.music.126.net/VSTr3ZDA_PqFUFa4RNZv8g==/2081375511390682.mp3	 http://m1.music.126.net/KmlH2vxO243JCsi7X5SjIQ==/2064882836973584.mp3
三义之夏	http://m2.music.126.net/hQFY8zXednV_TXKbA6Zbrg==/1219358395212747.mp3	 http://m1.music.126.net/d9ltjIS3cKjgL2yxZIlfAQ==/1047834581279590.mp3
轻功(慢摇滚演奏版)	http://m1.music.126.net/0hUDzorjtEwwazw0Ht8YIA==/1043436534768482.mp3	 http://m1.music.126.net/bK4dckZhE9A22K8BRbLkTg==/1172079395218569.mp3
而我知道(冰融演奏版)	http://m2.music.126.net/a5sXHp0YQwqOJjAh0hsgKg==/1047834581279591.mp3	 http://m2.music.126.net/N5hFIC3ONqYjwCEwfVefeA==/1059929209185223.mp3
寂寞星球 人人寂寞	http://m2.music.126.net/pJ_tyD3VAvU4D8JywTVwxA==/2030797976512550.mp3	 http://m1.music.126.net/gcDcRVQkGW-PgFPhCMKm_g==/2012106278840405.mp3
故事都随风(开往哈尔滨的列车)	http://m1.music.126.net/yH8e6kb3UXq9_xTS-JTBJQ==/1043436534768483.mp3	 http://m2.music.126.net/5F-sWK_PaMMN7pKsopey7g==/1172079395218570.mp3
爱是绿洲	http://m1.music.126.net/8iZ5FX2hEU1CNSOuCwcIuQ==/1047834581279592.mp3	 http://m2.music.126.net/b3EVDKse5_rc3ye3qC8pSA==/1059929209185224.mp3
寂寞星球(电影版)	http://m1.music.126.net/Ttmk3qX17LX3tmNyQxM5EA==/1172079395218571.mp3	 http://m1.music.126.net/LU6cQFfVOcaNspxBQ4eE3Q==/1219358395212749.mp3
听不到	http://m1.music.126.net/phmASIdpnuhbuZqJ1aaBzQ==/1135795511501912.mp3	 http://m2.music.126.net/8bavMoCwxpecU7ZqomStRg==/1040137999885147.mp3
听不到(伴奏) - instrumental	http://m2.music.126.net/8kb6N6Mv0egkkcpLCG4GLQ==/5719659487749415.mp3	 http://m1.music.126.net/qw7g5hu3SwoqEySfkWXvYQ==/5653688790083209.mp3
轻功	http://m2.music.126.net/GrJphbJnFHNP5ICw52o5GQ==/1135795511500920.mp3	 http://m1.music.126.net/ln6bxEgj_ONTitih6Y6Ilg==/998356558028915.mp3
恒星的恒心	http://m1.music.126.net/hA32_cx3omayH2KQzNaKug==/1003854116167762.mp3	 http://m2.music.126.net/ZpuwwxCRdX9sZc8ooSqdHA==/1028043371978777.mp3
雌雄同体	http://m1.music.126.net/lM2Kv8k4ZvYwROQUwYmBiQ==/2003310185819117.mp3	 http://m2.music.126.net/Mwisk_L3Nt-K1v6nzUWMSg==/2003310185819115.mp3
阿姆斯壮	http://m2.music.126.net/y3zfzpH5IiNv_FSZjf4J7w==/1135795511500921.mp3	 http://m2.music.126.net/E4moKsZZMRusTl2W9OTnhg==/998356558028916.mp3
而我知道	http://m2.music.126.net/TPrixN4w5G5e874EtzaiaQ==/1003854116167763.mp3	 http://m2.music.126.net/9Cg87mU9bGAGzyGBt5vihQ==/1028043371978778.mp3
赌神	http://m2.music.126.net/C_4yG06NCPKvcuSqZNXDtw==/998356558028917.mp3	 http://m1.music.126.net/lMQeRSkJ0_iShyBFTCCAlQ==/1066526278951174.mp3
别惹我	http://m1.music.126.net/vPORPfi6T0Bu8JwWhHGlHQ==/2003310185819121.mp3	 http://m1.music.126.net/6rxFBPsoG7cuniVdea3eHw==/2003310185819119.mp3
九号球	http://m2.music.126.net/su-bG1kkymJoujdeQr6DIA==/1003854116167764.mp3	 http://m2.music.126.net/ainLC4wbA2Fg4ILPEp-4ZQ==/1028043371978779.mp3
