歌曲	蓝光	高清
上海一九四三	 http://m1.music.126.net/DxlvD9WL3EmpZWC074zWeA==/3366704604320223.mp3	 http://m1.music.126.net/EgygEv9IrYXlSH3oHtznfQ==/7931876884311998.mp3
对不起	 http://m1.music.126.net/20FNwmiKotbKk-HMmQVBfA==/3354609976407950.mp3	 http://m2.music.126.net/275HLTjjZSrwJ3UBGkJ1qw==/7927478837804627.mp3
威廉古堡	 http://m2.music.126.net/ip6mgKZ0em1ljRT33Sc1lQ==/3265549534557602.mp3	 http://m2.music.126.net/U4rtwQpOekCGNszPj_YpJA==/3312828534553018.mp3
双截棍	 http://m2.music.126.net/4ushIsEv_TrvNERKXRXUCA==/3366704604320224.mp3	 http://m1.music.126.net/JzwOXA5qOG9SwX3oRRKaWw==/7931876884311901.mp3
安静	 http://m2.music.126.net/LAd673o-QXyMeFWuU8AyHg==/7985752954072033.mp3	 http://m2.music.126.net/lQDPnRDFDu9lW53x8DMYjg==/7985752954072031.mp3
刀马旦	 http://m2.music.126.net/gro-Adsly_iHV5cnLDBGRg==/1123700883595429.mp3	 http://m1.music.126.net/tQ_w3Oza9k59dbeWMiwLyA==/1109407232434338.mp3
半兽人	 http://m2.music.126.net/FeY6o5eXGVZODjOVwNm1yw==/7825224255964543.mp3	 http://m2.music.126.net/mVS-er2D-etOZSyRvwRPVQ==/7721870162959549.mp3
半岛铁盒	 http://m2.music.126.net/goNSQfYLs8aKhKA0s7_W6Q==/7967061256324097.mp3	 http://m1.music.126.net/vm549JIY8EfPrbiyHuUHqA==/7721870162959551.mp3
暗号	 http://m1.music.126.net/olVwGt3SvTcMSe7hfb1dDA==/7721870162959552.mp3	 http://m1.music.126.net/UC6mFflcnfxPVdCjlJD0ig==/7958265163303189.mp3
龙拳	 http://m2.music.126.net/Jkh2tt_s4bR2-V3dj-m6AA==/7967061256324098.mp3	 http://m2.music.126.net/mj_YeMcdNf5VFjEC5GNQCg==/7981354907480885.mp3
火车叨位去	 http://m1.music.126.net/Rtp8S4SyCfiC4TtfC41ImQ==/7721870162959553.mp3	 http://m1.music.126.net/vZCFlLmeRdLUxRVQhS-vfw==/7958265163303190.mp3
分裂(离开)	 http://m2.music.126.net/ohM60431ZE-9142xCiHw5g==/7981354907480886.mp3	 http://m2.music.126.net/JEGA9UcpW2KLxdTNBGBbLg==/7982454419112961.mp3
爷爷泡的茶	 http://m1.music.126.net/Fxm2i7xgiOFCNP-mkXGopQ==/7958265163303191.mp3	 http://m2.music.126.net/oSiyOxuBDyqMmJCe0Ob5VA==/7965961744696323.mp3
回到过去	 http://m2.music.126.net/qK-8GkfNRiwDsAu7q3PgHw==/7982454419112962.mp3	 http://m2.music.126.net/6oO8nnQG4gFlZauA5cUrpA==/7825224255964546.mp3
米兰的小铁匠	 http://m2.music.126.net/IGIL-bOVD_e-YlrfmomYlg==/7965961744696324.mp3	 http://m2.music.126.net/LCKNP0srRTrV4Ks3d84LpQ==/7763651604816588.mp3
最后的战役	 http://m1.music.126.net/Xho6s25kj0DUgHOy1EXrKA==/7825224255964547.mp3	 http://m1.music.126.net/MknkjZkM60FDtOzx6G2NnQ==/7967061256324100.mp3
我们在成长	 http://m1.music.126.net/ND2XWYCxxytu4s1yGILTDg==/2934596535651127.mp3	 http://m2.music.126.net/EBC3r1jRHt26gx9gUMM4ug==/7711974557992029.mp3
一路上有你(国) 分手总要在雨天(粤)(live版) - live	 http://m1.music.126.net/41NOXgbd4V9Yr8YpW7_o3w==/5500856673830651.mp3
蜗牛	 http://m2.music.126.net/pjXq02cH3Erp1J25UdlN4A==/7931876884337758.mp3	 http://m1.music.126.net/efn2bysFj4FbgCl7ztUaWA==/7931876884337756.mp3
你比从前快乐	 http://m1.music.126.net/kOzpn_rmig0pmgOjvipthA==/7931876884337761.mp3	 http://m2.music.126.net/gc5JB22bi9z_eDAX9fY9eg==/7931876884337759.mp3
世界末日	 http://m2.music.126.net/oPawLm93sfZWxKEAW881LA==/7931876884337764.mp3	 http://m2.music.126.net/MsuWxcxsDKm24DteuX9ZGA==/7931876884337762.mp3
斗牛(Live) - live	 http://m2.music.126.net/y7Kad2sjyjGZeeUrEaZixg==/7825224255964550.mp3	 http://m1.music.126.net/QPYX1ZB0QcoYfcRX1eKt-w==/7967061256324103.mp3
找自己(Live) - live	 http://m1.music.126.net/_NbK3b1A0uE2Vv5m92f5fA==/7981354907480892.mp3	 http://m2.music.126.net/XrVtrPLHTx6eWii-2vg-LA==/7982454419112967.mp3
龙拳(Live) - live	 http://m1.music.126.net/aWTaHg8Y4CBg_xtr4Zq8Ig==/7981354907480893.mp3	 http://m1.music.126.net/i6WFedC_ZzpdxMSggv6l9w==/7982454419112968.mp3
你怎么连话都说不清楚(Live) - live	 http://m1.music.126.net/oLLTGH2h_hGnatli27m0mg==/7956066140048237.mp3	 http://m1.music.126.net/mm_mweF8WHM-A0bDeJ-GGQ==/7825224255964553.mp3
布拉格广场	 http://m2.music.126.net/0it9XRE4MJQO3qYeTnUsXg==/5829610650497231.mp3	 http://m1.music.126.net/CCWM_ekolSAFvb79L3errA==/5788928720269656.mp3
骑士精神	 http://m2.music.126.net/egjgBYsYvHZK9tBr0sLYdQ==/1143492092896085.mp3	 http://m2.music.126.net/SqXEyKF-rGwXKNfPLHDBXQ==/1143492092896083.mp3
手牵手	 http://m1.music.126.net/IXFkeDcoVIVyx8klMMFxkQ==/2071479906761307.mp3	 http://m1.music.126.net/5yT3PGDrP5BWUskgRYa6yw==/2126455488132547.mp3
以父之名	 http://m2.music.126.net/KSqKHwTaDrQXHlY52TRwsA==/7704277977980035.mp3	 http://m1.music.126.net/VynubwU226voRcQ0dNlkxw==/7945071023769279.mp3
懦夫	 http://m2.music.126.net/OlTuIqrZdjMk4d0h13KXiw==/3291937813618638.mp3	 http://m1.music.126.net/hOXnrhz-CXxuqJqdC_wqeQ==/3291937813618636.mp3
晴天	 http://m1.music.126.net/U2CxR3MGaqD-DHlsCYgksg==/3291937813618641.mp3	 http://m1.music.126.net/0T9TtNbpyRk63zzJSdRZrw==/3291937813618639.mp3
三年二班	 http://m1.music.126.net/iUK02uyrEj0_4nxgodUHdw==/3291937813618644.mp3	 http://m1.music.126.net/xPILe499ZHGpZh9iAUgwzA==/3291937813618642.mp3
东风破	 http://m2.music.126.net/QJAawC-f5AH6ZFNgZf4-EA==/7995648558718275.mp3	 http://m2.music.126.net/AwMGtr12ltL-NnEhY1D39A==/7724069186226937.mp3
你听得到	 http://m1.music.126.net/6Ice2IN3d7sVizAsigbwhw==/3323823650824614.mp3	 http://m1.music.126.net/RLQQdWEHH7P_o_UGWkQg3w==/7787840860627712.mp3
同一种调调	 http://m2.music.126.net/xNvvl3Dc-xZ50K0XgZyPiQ==/3346913395007322.mp3	 http://m1.music.126.net/-EySizFNKos1vEtHicCqhQ==/7932976395936807.mp3
她的睫毛	 http://m1.music.126.net/oI8oy7wLOrNa7W0TFUZNeg==/7724069186226940.mp3	 http://m2.music.126.net/7TDx4HaSR3Yhx9M4kzGH0g==/7724069186226938.mp3
爱情悬崖	 http://m2.music.126.net/_dD1Codf-Q3Llb01iDmpQA==/7724069186226943.mp3	 http://m2.music.126.net/fjosyWo2JqtjcOZI_ZacRg==/7724069186226941.mp3
梯田	 http://m1.music.126.net/6on-ydbQf1xn40TUmeLX-A==/7724069186226946.mp3	 http://m2.music.126.net/8zgdUAm_TKEaKdsnJoPwRw==/7724069186226944.mp3
双刀	 http://m2.music.126.net/Gr1UPjEJzqb5S7wJ6UXVOA==/7724069186226949.mp3	 http://m2.music.126.net/mAc8a1cXN9vPxgo7uX2W1Q==/7724069186226947.mp3
轨迹	 http://m2.music.126.net/yhOZKmX57HaEXRA3qubqUA==/7926379325714588.mp3	 http://m2.music.126.net/wpKrJ2Ra1fD86kWZecTYLg==/7747158930386749.mp3
断了的弦	 http://m2.music.126.net/svF95I0Y5HQf0i9y5qiTBw==/7959364674930721.mp3	 http://m2.music.126.net/Pdkm5aelaV5BLJn6e_PnjA==/7845015465254314.mp3
我的地盘	 http://m2.music.126.net/RkTb886uj5cfJ1QD_6w3Lw==/7982454419112970.mp3	 http://m1.music.126.net/gq0gGDnXn0CeRCO37Jex1A==/7956066140048238.mp3
七里香	 http://m1.music.126.net/sgN1Pmz4adgRwQYgGWF-4g==/7880199837360436.mp3	 http://m1.music.126.net/WXQDkKwErz3t2RWavP0FfA==/7880199837360434.mp3
借口	 http://m1.music.126.net/N4bhDaqvInePAc61hOqJpw==/7880199837360439.mp3	 http://m2.music.126.net/LeP5DcERbJFIk8ff9B-i-A==/7880199837360437.mp3
外婆	 http://m2.music.126.net/X53ZUdmyHRY7wLdDQBKG2Q==/7880199837360442.mp3	 http://m2.music.126.net/A6lI6mDtxm89Bb1ULqoMHA==/7880199837360440.mp3
将军	 http://m2.music.126.net/__-bSLFdEOYWQbmtT416mw==/3271047092691499.mp3	 http://m1.music.126.net/sBbqA_F4ZJuqJiMUnQFAiA==/3271047092691497.mp3
搁浅	 http://m1.music.126.net/rRjaV_r5dlnFJkiXYUXseg==/3377699720585852.mp3	 http://m2.music.126.net/HeIbGK14Mpi3oo-S6I-0vQ==/3271047092691500.mp3
乱舞春秋	 http://m2.music.126.net/YFtO5gkob9vAk43DKFiFgA==/7960464186630606.mp3	 http://m1.music.126.net/4zlgDmTJTQtBVk9awkBmBw==/7897792023460695.mp3
困兽之斗	 http://m1.music.126.net/h1v3rnR4x_nCNQK0mqsVVw==/7949469070352092.mp3	 http://m2.music.126.net/INN0hSr9pgwZvM6olQNWCA==/3279843185715209.mp3
园游会	 http://m1.music.126.net/e7ErdwXlKYqAp3j_kKHK9A==/3276544650831109.mp3	 http://m2.music.126.net/-KsuP1TRd8anNOu4oVZMdw==/3289738790364864.mp3
止战之殇	 http://m1.music.126.net/nNwqZ1dYxoQs0PvawNvLyw==/7995648558718808.mp3	 http://m2.music.126.net/Wet9JjeZPIvdda_OIzVvLw==/3359008022913964.mp3
Dare For More	 http://m1.music.126.net/eYLFpunwDBN4hccOT5abEg==/3262251001827115.mp3
梯田+爸我回来了(Live) - live	 http://m2.music.126.net/vkZbHpBYgeUzalIjchyKfw==/7886796907171755.mp3	 http://m1.music.126.net/tpzrVJ7tDA5VLcC4HVvBUQ==/7727367721098587.mp3
星晴+回到过去+最后的战役+爱我别走(Live) - live	 http://m1.music.126.net/Ij7KVOUn9f9h0uwlbjBulQ==/7828522790848079.mp3	 http://m2.music.126.net/oyq4KK__5SbxglTEtO5jtQ==/7886796907171756.mp3
我的地盘(Live) - live	 http://m2.music.126.net/bRUdtOt4BhUN_FhrmsIkgA==/7755955023422264.mp3	 http://m2.music.126.net/O-wzXOzfeBi_knC4EHzF8Q==/7831821325731357.mp3
瓦解(Live) - live	 http://m2.music.126.net/9bi44pQhXVuJA4dTsRlHZQ==/7727367721098590.mp3	 http://m2.music.126.net/bBO51IbsW_GNWNbOdye0SQ==/7755955023422265.mp3
双刀+双截棍+龙拳(Live) - live	 http://m2.music.126.net/Bo-XGo_DI5L3ArqpL-v5cA==/7886796907171758.mp3	 http://m2.music.126.net/orPRCgknrH8e3bC1MUckwg==/7938473954003684.mp3
倒带(Live) - live	 http://m2.music.126.net/szq2F3WQwZrdxL72klaKeQ==/7951668093537194.mp3	 http://m1.music.126.net/ajTnE0M2a97d6tm1AkYWLQ==/8003345140043215.mp3
祝我生日快乐	 http://m2.music.126.net/s5esswQQyjfcRCcsTtYdhQ==/1216059860328843.mp3	 http://m1.music.126.net/49qdbbNPDiY6WLEV0o9EPw==/1099511627784785.mp3
夜曲	 http://m1.music.126.net/EHpRaX1flmpp2U7KiuXkQQ==/7965961744696344.mp3	 http://m2.music.126.net/BzE7lTWYbcnNRWlow_80dQ==/7763651604816608.mp3
蓝色风暴	 http://m1.music.126.net/EDGpwsB97goc3jLo2-thFg==/7825224255964567.mp3	 http://m2.music.126.net/WP3rwLGLxDWUKYUC4OYhVw==/7967061256324120.mp3
发如雪	 http://m1.music.126.net/KUonV6L_FkzpggJ30BGajA==/7973658326167752.mp3	 http://m2.music.126.net/j2d7yh4TGc0PKxxIL6d_4g==/7973658326167750.mp3
黑色毛衣	 http://m1.music.126.net/TxkebjGaqLTwXtPuea4gsw==/7998947093531966.mp3	 http://m1.music.126.net/Mkn92Yn3EocxTjDo4OlIeg==/7938473954004376.mp3
四面楚歌	 http://m1.music.126.net/Gf7pdajun2nWYo7daPd23A==/7981354907480908.mp3	 http://m2.music.126.net/vzglX5v40V7nvRVT4R5qdA==/7982454419112983.mp3
枫	 http://m1.music.126.net/gTXAnIMKL7xrtPLISYfhBg==/7960464186642061.mp3	 http://m2.music.126.net/-g0Hb2MsgYRNdTT1J7RjTg==/3304032441536667.mp3
浪漫手机	 http://m2.music.126.net/GWYTPtAOzZDpnGFLLgcWPw==/3341415836881395.mp3	 http://m1.music.126.net/ayf944_61YoEApTgIdyW4w==/3359008022926152.mp3
逆鳞	 http://m2.music.126.net/rYjW_nt4lp8878LPOyD9qw==/7969260279663832.mp3	 http://m2.music.126.net/lp2Fl4bzg2kGko8T5FgRlw==/7793338418768620.mp3
麦芽糖	 http://m1.music.126.net/t0tJ_hsTx9Fjo2tLbdiq5A==/3304032441536670.mp3	 http://m2.music.126.net/TCaCN_QXfKFU35K9vp7L_A==/3304032441536668.mp3
珊瑚海	 http://m1.music.126.net/Fk12Sv1WRwrSfNDSte6TTQ==/3304032441536673.mp3	 http://m2.music.126.net/AzS_n0t3tWFseoj4whYrUw==/3304032441536671.mp3
飘移	 http://m1.music.126.net/inFFOjlK2kIR6GJKOFgkjA==/3304032441536676.mp3	 http://m1.music.126.net/h_XWbwh2h6JZv2z9REMjeQ==/3304032441536674.mp3
一路向北	 http://m2.music.126.net/5Nd7qqcS-mCOfvy0uggtHQ==/3304032441536679.mp3	 http://m2.music.126.net/8TkuV401FsK4mBQwraG6Uw==/3304032441536677.mp3
大头贴	 http://m2.music.126.net/Y-cb7guv1RFEuWDH1q9a8g==/3133608139235740.mp3
霍元甲	 http://m2.music.126.net/2I4Lw4rGGCHJE4-3S4zYfw==/7950568581910013.mp3	 http://m2.music.126.net/LWX126f7dTebejWOx2r9KA==/7937374442375861.mp3
献世 (Live) - live	 http://m1.music.126.net/NnPMsrm13qPF-AHATBJS6g==/7939573465630411.mp3	 http://m1.music.126.net/vubJcf781g-ew9WR-Oe0Vg==/7852712046649050.mp3
夜的第七章	 http://m1.music.126.net/K5qWSkq2MNwYNrwKMfXBTw==/7704277977980050.mp3	 http://m2.music.126.net/S4Hj2tUNaSV3Cui5SFJxEw==/7945071023769294.mp3
听妈妈的话	 http://m2.music.126.net/XjmbmrDaD00idE0-7iH3-Q==/7950568581910015.mp3	 http://m1.music.126.net/Tg5Iza573cbcHiFzeUThRQ==/7937374442375863.mp3
千里之外	 http://m1.music.126.net/6sE2LbL57GVJ6bWfYjwl8g==/7939573465630413.mp3	 http://m2.music.126.net/PvpTnOCan4nNIhuHfs05Ag==/7852712046649052.mp3
本草纲目	 http://m2.music.126.net/7Dmc5ifVFvGuWqHWAU3naA==/7772447697838763.mp3	 http://m2.music.126.net/-8Zhs20AJ2N9DFV11vBeWw==/7742760883875610.mp3
退后	 http://m2.music.126.net/6RnJrM8LhC1Xa1eAdPi0hw==/7986852465623636.mp3	 http://m2.music.126.net/1vLz3tQ5YFKKy6At_QakQA==/7704277977980051.mp3
红模仿	 http://m2.music.126.net/lqba6-HEWypox7MMCavmWw==/3338117303153463.mp3	 http://m1.music.126.net/mUdRiOrlpsY-YgBcVrNYog==/3304032442866792.mp3
心雨	 http://m1.music.126.net/rUhLQwYcRc6k9ZoS9Xa_KQ==/7945071023769296.mp3	 http://m2.music.126.net/fRW-jy29D2QMt5i7gYbKzw==/7939573465630414.mp3
白色风车	 http://m1.music.126.net/YGMFCl7-5Bi5eN6V7L2JMg==/7937374442375865.mp3	 http://m2.music.126.net/WCIUjh1v1BFkJHeH4gJt0A==/7772447697838764.mp3
迷迭香	 http://m2.music.126.net/CimYKAz5upIGVYja-j6ccQ==/7950568581910017.mp3	 http://m2.music.126.net/ysuwNKVKzCpgBfAJmxTeFQ==/7986852465623637.mp3
菊花台	 http://m1.music.126.net/CGLfeuAvWDyLaLmp9_dlog==/7939573465630415.mp3	 http://m2.music.126.net/IQGiIfA_L1KKEunnasKrPQ==/7852712046649054.mp3
黄金甲	 http://m1.music.126.net/b-tamn2OXBTaxmmk1LwGCA==/7845015465254335.mp3	 http://m2.music.126.net/dOlwz_PoPQSTaJCWUsnhKg==/8000046605158801.mp3
不能说的秘密	 http://m1.music.126.net/npxeptsUdc5IYB4QQzrMfg==/3290838302006523.mp3	 http://m1.music.126.net/Yq4-9m_nOtbOWdA3HwEqXQ==/3331520232227234.mp3
城里的月光(现场演唱版)	 http://m1.music.126.net/Fm_KlNs8GrGFERjlauwi_A==/5766938487686737.mp3
牛仔很忙	 http://m2.music.126.net/PKVJ_S7Ea3YpiQ9DiWQQSw==/7947270047109033.mp3	 http://m2.music.126.net/xYqIULMoRhVxxEf3pzPR4g==/7931876884311906.mp3
彩虹	 http://m2.music.126.net/sLKP3na0M4mdXocWFcVHlA==/3236962235602026.mp3	 http://m2.music.126.net/1IG-3njp_5UasIB9UKefVw==/3235862723975490.mp3
青花瓷	 http://m2.music.126.net/-usoUnSZza-j9EGfscra0w==/7931876884312004.mp3	 http://m1.music.126.net/nMUM5f4vJmQ3fOk9rEi8Cg==/7997847581980055.mp3
阳光宅男	 http://m2.music.126.net/YF8k3z0j1V6EnMZ_CNq-zw==/3251255883404601.mp3	 http://m1.music.126.net/8FCrBRpj-05dNgobla_m8A==/7946170535481307.mp3
蒲公英的约定	 http://m2.music.126.net/5HCc20ToKpy6BrkJUDIxlA==/1365593465803306.mp3	 http://m1.music.126.net/HPa1ie5hbmJzMLuSr8cbkg==/3276544656972551.mp3
无双	 http://m2.music.126.net/Z_-T9zzWHnmo1GiaR_9p2Q==/3233663700719789.mp3	 http://m2.music.126.net/GpqCZDUkqm8zhydUkidjIw==/3286440257931135.mp3
我不配	 http://m2.music.126.net/u_06uOEFVq3R2De4LxuXnA==/7825224255964574.mp3	 http://m1.music.126.net/VjCF_zOpaACkloQzvkMcTA==/7967061256324127.mp3
扯	 http://m1.music.126.net/N7lirfrHfehCgzSdyUGUaw==/3234763212348905.mp3	 http://m2.music.126.net/xk6I47XVO4F-WOmqz9xM-g==/3236962235602027.mp3
甜甜的	 http://m1.music.126.net/O1-e4JylX2IhqQTV6ZLZkg==/3235862723975492.mp3	 http://m1.music.126.net/rd9dDS_znCUZx3IK2n77Qw==/1365593465806299.mp3
最长的电影	 http://m2.music.126.net/qJQSV58oM3QqDJGJbXsDdA==/7981354907480915.mp3	 http://m2.music.126.net/7NxvtQSHCXiEQSYG_GMt6Q==/7982454419112990.mp3
麦芽糖(Live) - live	 http://m1.music.126.net/uMRPvRG3kNzxjO8dxDf4Aw==/7902190069960820.mp3	 http://m1.music.126.net/VHygZwl0otaZOZefvVxIsg==/7986852465623646.mp3
周大侠	 http://m1.music.126.net/1ZZToXb8ILNL5VrUirveuA==/7945071023769308.mp3	 http://m1.music.126.net/gn8mKXWO60yBgxB7qLQHew==/7939573465630426.mp3
秘密花园	 http://m1.music.126.net/ipkrteSui5nOYJ4E1lH7oA==/6622358535491010.mp3
千山万水	 http://m1.music.126.net/5foYjS364LS99HCQmDmdFQ==/991759488262683.mp3	 http://m1.music.126.net/zx4fU5W7waQjG4Nlat5LGQ==/1084118464996056.mp3
龙战骑士	 http://m1.music.126.net/ClNoI6VzrbcAM_zjkazqiQ==/7727367721098609.mp3	 http://m1.music.126.net/X3wxIqDsbLHJ5Q06TShalA==/7755955023422284.mp3
给我一首歌的时间	 http://m2.music.126.net/HC_jFzN5KjTRShZ3-vL8HA==/7761452581574887.mp3	 http://m1.music.126.net/i8D45sxQ0-mh72Da8eSqfw==/3334818767110589.mp3
蛇舞	 http://m2.music.126.net/FYv0OjjA7e9S7X1pJn-tEQ==/7886796907171777.mp3	 http://m1.music.126.net/_ZquKd4wwf7fXxOLSoEx8g==/7953867116793698.mp3
花海	 http://m2.music.126.net/-XksZ5J-p_fvag38Wpfs8A==/7939573465716474.mp3	 http://m2.music.126.net/8Mb71PbigPhlTbF3BjK6EQ==/3274345627589584.mp3
魔术先生	 http://m1.music.126.net/qvJlhYTp6W4U7gnKdpCY6Q==/3333719255482813.mp3	 http://m2.music.126.net/8x4KrddYAHyg-tJWYhEu8g==/3320525115956149.mp3
说好的幸福呢	 http://m2.music.126.net/JHuQLKSs47g-jTAASut-2g==/7714173581565477.mp3	 http://m1.music.126.net/6K6vOmfvm652yGp1GHwWxg==/7727367721098610.mp3
兰亭序	 http://m2.music.126.net/icdhfqggpOKZP4yjaurVQg==/3334818767110590.mp3	 http://m2.music.126.net/4qMK-NX9ntwGZUMX8bx4XQ==/3374401185717206.mp3
流浪诗人	 http://m1.music.126.net/q_5zagTK1Jlxe-xMCuyKvA==/7761452581574888.mp3	 http://m2.music.126.net/u8Dr4UCP4CRaLZOUo0_oHw==/3300733906655536.mp3
时光机	 http://m2.music.126.net/VFNwKhFXXjWHLeEAHkGaqg==/7939573465716475.mp3	 http://m1.music.126.net/vXTSxhq-6k8KujmSt-zuvA==/3274345627589585.mp3
乔克叔叔	 http://m2.music.126.net/qYbs8NoYGN39UaUGN2CacA==/3333719255482814.mp3	 http://m1.music.126.net/TtBfCC1ZmKgQi5plVZmhXg==/3320525115956150.mp3
稻香	 http://m1.music.126.net/cHEloy7IewfGHDNaPX3Buw==/3334818767110591.mp3	 http://m1.music.126.net/QNXLYtxPJS6ODPv-XeKqiQ==/3374401185717114.mp3
本草纲目remix辣妹子	 http://m2.music.126.net/ya7TF8d0RPogGKEKLFTysA==/2893914605261220.mp3
山歌好比春江水.多谢了(Live)	 http://m1.music.126.net/mxiln4buj73nk2viiCncCw==/1169880371961918.mp3	 http://m1.music.126.net/ajNdojUjFqrfBzf3NIwUBQ==/1130297953361831.mp3
千里之外(Live)	 http://m1.music.126.net/qwEPIZiLkSAjmruC1O8Nug==/1175377930100734.mp3	 http://m2.music.126.net/jBkydKVSf6X_a2ZlyWT7jg==/1175377930100732.mp3
结尾曲-友谊地久天长(Live)	 http://m1.music.126.net/6kdNMMcjIkFAtji2Vl5dMA==/997257046400904.mp3	 http://m1.music.126.net/gYltLIHy4npYPafoJOQy7A==/1029142883606355.mp3
画沙	 http://m2.music.126.net/ISXQXwVeFHJpuRHmG5ExXg==/1122601371968008.mp3	 http://m2.music.126.net/1wNWyUntMeai-K7B4t-21A==/1105009185923531.mp3
跨时代	 http://m1.music.126.net/i_sOAhrZCHoTRcxIFCQSGA==/7967061256324146.mp3	 http://m1.music.126.net/0x8RY0iHgObpWtu-PbMwcg==/7967061256324144.mp3
说了再见	 http://m1.music.126.net/5k1BAuj3j765d3F1w7bRww==/7965961744696360.mp3	 http://m1.music.126.net/_cOxMeandmJ4CQNEP-dynQ==/7965961744696358.mp3
烟花易冷	 http://m1.music.126.net/O_mRpLZt1hClqCeuxdcitQ==/7965961744696363.mp3	 http://m1.music.126.net/bsZyYW0HQTgfp1CcrdquEQ==/7965961744696361.mp3
免费教学录像带 - （内地版）	 http://m1.music.126.net/9XWBQEW6EUR5F8FXOg2mQA==/7981354907480926.mp3	 http://m2.music.126.net/MM-BvMTzc_DQn2B_hOobtg==/7981354907480924.mp3
好久不见	 http://m1.music.126.net/UUc8k9mJvRF8vgHvl5XZ8g==/7965961744696366.mp3	 http://m1.music.126.net/jlC4wRhwfT1Q365YX7WScg==/7965961744696364.mp3
雨下一整晚	 http://m2.music.126.net/k3k4ve1C3PUM7S0DKhGnNA==/7965961744696369.mp3	 http://m1.music.126.net/URymHsKHrXgVzGndmj0rmw==/7965961744696367.mp3
嘻哈空姐	 http://m1.music.126.net/5XoyNlgVNsrhxnFE2tVrkg==/7991250512139369.mp3	 http://m1.music.126.net/RL6ALjyiIxupv3MRiA8rqw==/7965961744696370.mp3
我落泪 情绪零碎	 http://m1.music.126.net/l0Z-JmQ5FZdQyjXNFqP1lw==/7938473954004389.mp3	 http://m2.music.126.net/Ytz1xMy0hWRX5D8G6CaExA==/7953867116793499.mp3
爱的飞行日记	 http://m2.music.126.net/T9mN4zpTNMelNoNHlxS1Qg==/7982454419112996.mp3	 http://m2.music.126.net/yq9H11xVzwc5X8uS3ZGlNw==/7956066140048264.mp3
自导自演	 http://m1.music.126.net/PMiAIo3FEpeS_ZpTl2PHDQ==/7981354907480923.mp3	 http://m1.music.126.net/el2Jb9_xMoSoE-PXWqJjuA==/7763651604816622.mp3
